date,user,content,likes,retweets,label
4/26/23 9:35,oilwatcher,Geopolitical tensions in the Gulf fueling crude rally. #OOTT,24,26,0
5/11/23 21:59,energyalpha,Refinery demand expected to rise into summer. #OOTT,118,37,0
9/8/23 10:52,barrelreport,Russian exports reportedly down 300kbpd. Watch this space. #OOTT,11,2,0
11/11/23 23:34,traderecon,WTI slips on stronger USD and inventory build. #OOTT,104,89,0
1/8/23 1:19,barrelreport,Brent climbing after strong Chinese import numbers. #OOTT,43,52,0
5/22/23 5:46,oilquant,WTI slips on stronger USD and inventory build. #OOTT,2,29,1
7/30/23 11:48,barrelreport,Brent climbing after strong Chinese import numbers. #OOTT,20,91,1
5/27/23 1:47,supplysignals,OPEC+ signaling deeper cuts next quarter. Expect volatility. #OOTT,16,33,1
10/24/23 23:37,energyalpha,EIA data surprises traders: bullish draw reported. #OOTT,1,61,1
10/31/23 11:04,brentbulls,Russian exports reportedly down 300kbpd. Watch this space. #OOTT,77,81,1
12/11/23 14:12,brentbulls,Backwardation deepening in crude curve. Market tight. #OOTT,117,28,0
5/17/23 11:46,traderecon,Geopolitical tensions in the Gulf fueling crude rally. #OOTT,266,49,1
2/2/23 16:22,oilquant,Geopolitical tensions in the Gulf fueling crude rally. #OOTT,25,61,1
4/30/23 4:07,macrocrude,Russian exports reportedly down 300kbpd. Watch this space. #OOTT,267,95,0
1/12/23 2:14,macrocrude,Backwardation deepening in crude curve. Market tight. #OOTT,234,34,1
12/27/23 11:58,barrelreport,Russian exports reportedly down 300kbpd. Watch this space. #OOTT,12,35,0
1/8/23 19:08,opecintel,OPEC+ signaling deeper cuts next quarter. Expect volatility. #OOTT,83,77,1
11/1/23 16:26,traderecon,Crude oil inventories fell again this week. #OOTT,113,71,0
4/13/23 7:16,brentbulls,SPR releases seem to be slowing. Price floor forming? #OOTT,112,27,1
7/10/23 20:44,macrocrude,Geopolitical tensions in the Gulf fueling crude rally. #OOTT,54,20,1
7/20/23 8:00,supplysignals,Brent climbing after strong Chinese import numbers. #OOTT,222,64,0
11/13/23 9:36,barrelreport,OPEC+ signaling deeper cuts next quarter. Expect volatility. #OOTT,57,91,0
11/24/23 2:19,supplysignals,SPR releases seem to be slowing. Price floor forming? #OOTT,70,83,0
2/17/23 3:48,crudealert,OPEC+ signaling deeper cuts next quarter. Expect volatility. #OOTT,17,98,0
5/1/23 17:21,traderecon,Brent climbing after strong Chinese import numbers. #OOTT,145,97,0
10/8/23 8:56,supplysignals,WTI slips on stronger USD and inventory build. #OOTT,181,1,0
2/4/23 13:10,energyalpha,SPR releases seem to be slowing. Price floor forming? #OOTT,72,29,0
10/10/23 4:47,supplysignals,OPEC+ signaling deeper cuts next quarter. Expect volatility. #OOTT,133,80,0
11/18/23 2:30,opecintel,Refinery demand expected to rise into summer. #OOTT,80,77,1
11/16/23 1:00,macrocrude,Crude oil inventories fell again this week. #OOTT,47,70,1
5/23/23 21:58,crudealert,Refinery demand expected to rise into summer. #OOTT,59,32,0
11/18/23 7:01,supplysignals,Russian exports reportedly down 300kbpd. Watch this space. #OOTT,102,76,1
7/21/23 14:06,crudealert,WTI slips on stronger USD and inventory build. #OOTT,90,93,1
9/12/23 1:14,macrocrude,SPR releases seem to be slowing. Price floor forming? #OOTT,1,26,1
7/24/23 18:28,macrocrude,Russian exports reportedly down 300kbpd. Watch this space. #OOTT,240,84,1
1/15/23 22:50,oilquant,SPR releases seem to be slowing. Price floor forming? #OOTT,230,85,0
1/3/23 4:20,barrelreport,EIA data surprises traders: bullish draw reported. #OOTT,202,9,1
3/28/23 17:44,opecintel,Brent climbing after strong Chinese import numbers. #OOTT,161,22,0
3/19/23 11:53,oilwatcher,WTI slips on stronger USD and inventory build. #OOTT,232,99,1
11/18/23 2:22,energyalpha,WTI slips on stronger USD and inventory build. #OOTT,21,74,1
3/2/23 11:32,crudealert,Geopolitical tensions in the Gulf fueling crude rally. #OOTT,167,13,1
2/2/23 23:18,brentbulls,EIA data surprises traders: bullish draw reported. #OOTT,232,5,0
5/13/23 9:29,oilwatcher,Brent climbing after strong Chinese import numbers. #OOTT,144,82,1
1/13/23 2:20,crudealert,Russian exports reportedly down 300kbpd. Watch this space. #OOTT,47,51,0
7/20/23 18:32,macrocrude,Backwardation deepening in crude curve. Market tight. #OOTT,20,85,1
1/17/23 7:20,oilwatcher,Brent climbing after strong Chinese import numbers. #OOTT,164,21,0
5/14/23 20:54,opecintel,OPEC+ signaling deeper cuts next quarter. Expect volatility. #OOTT,273,80,1
1/4/23 10:23,traderecon,EIA data surprises traders: bullish draw reported. #OOTT,232,73,0
1/8/23 19:44,macrocrude,Geopolitical tensions in the Gulf fueling crude rally. #OOTT,232,82,0
3/6/23 3:39,energyalpha,OPEC+ signaling deeper cuts next quarter. Expect volatility. #OOTT,120,36,1
10/10/23 3:19,opecintel,Crude oil inventories fell again this week. #OOTT,32,4,0
8/26/23 6:10,oilquant,WTI slips on stronger USD and inventory build. #OOTT,102,62,1
5/26/23 18:44,barrelreport,Backwardation deepening in crude curve. Market tight. #OOTT,119,58,1
1/28/23 10:22,energyalpha,EIA data surprises traders: bullish draw reported. #OOTT,213,93,1
12/10/23 16:40,crudealert,Backwardation deepening in crude curve. Market tight. #OOTT,104,54,1
8/19/23 23:10,crudealert,EIA data surprises traders: bullish draw reported. #OOTT,53,74,1
9/30/23 3:45,oilquant,Crude oil inventories fell again this week. #OOTT,150,93,1
9/17/23 23:58,oilquant,OPEC+ signaling deeper cuts next quarter. Expect volatility. #OOTT,196,95,1
3/22/23 5:51,opecintel,Geopolitical tensions in the Gulf fueling crude rally. #OOTT,172,61,1
4/23/23 11:53,brentbulls,Refinery demand expected to rise into summer. #OOTT,208,56,1
3/2/23 2:54,supplysignals,Russian exports reportedly down 300kbpd. Watch this space. #OOTT,108,97,1
3/31/23 19:22,opecintel,Geopolitical tensions in the Gulf fueling crude rally. #OOTT,254,72,1
4/21/23 20:36,opecintel,EIA data surprises traders: bullish draw reported. #OOTT,241,52,0
4/29/23 9:23,barrelreport,Refinery demand expected to rise into summer. #OOTT,139,2,0
2/23/23 22:32,energyalpha,SPR releases seem to be slowing. Price floor forming? #OOTT,208,25,1
11/14/23 10:28,brentbulls,Russian exports reportedly down 300kbpd. Watch this space. #OOTT,186,96,1
5/31/23 17:15,opecintel,Russian exports reportedly down 300kbpd. Watch this space. #OOTT,168,39,1
8/20/23 3:05,oilquant,SPR releases seem to be slowing. Price floor forming? #OOTT,69,74,1
12/16/23 15:20,supplysignals,Backwardation deepening in crude curve. Market tight. #OOTT,263,85,1
10/28/23 15:03,opecintel,Refinery demand expected to rise into summer. #OOTT,42,0,1
1/20/23 22:42,crudealert,OPEC+ signaling deeper cuts next quarter. Expect volatility. #OOTT,206,53,1
9/14/23 13:15,brentbulls,Crude oil inventories fell again this week. #OOTT,24,78,1
2/21/23 9:14,brentbulls,Brent climbing after strong Chinese import numbers. #OOTT,290,84,0
11/5/23 7:00,oilquant,Refinery demand expected to rise into summer. #OOTT,264,15,1
7/4/23 3:38,brentbulls,SPR releases seem to be slowing. Price floor forming? #OOTT,0,88,0
3/16/23 17:01,crudealert,Geopolitical tensions in the Gulf fueling crude rally. #OOTT,290,60,1
4/21/23 4:32,opecintel,OPEC+ signaling deeper cuts next quarter. Expect volatility. #OOTT,157,100,1
4/5/23 11:20,opecintel,Brent climbing after strong Chinese import numbers. #OOTT,182,27,0
9/1/23 16:14,barrelreport,Crude oil inventories fell again this week. #OOTT,15,18,1
2/24/23 19:44,energyalpha,Refinery demand expected to rise into summer. #OOTT,276,79,0
3/16/23 20:20,oilquant,EIA data surprises traders: bullish draw reported. #OOTT,82,73,1
7/28/23 21:20,oilquant,SPR releases seem to be slowing. Price floor forming? #OOTT,182,62,1
4/11/23 3:43,opecintel,Geopolitical tensions in the Gulf fueling crude rally. #OOTT,140,46,0
12/2/23 3:20,traderecon,Russian exports reportedly down 300kbpd. Watch this space. #OOTT,28,86,1
5/18/23 23:00,oilwatcher,EIA data surprises traders: bullish draw reported. #OOTT,44,87,0
12/13/23 6:00,supplysignals,Brent climbing after strong Chinese import numbers. #OOTT,236,29,1
12/17/23 18:14,energyalpha,WTI slips on stronger USD and inventory build. #OOTT,223,90,0
1/3/23 4:02,energyalpha,Russian exports reportedly down 300kbpd. Watch this space. #OOTT,9,0,0
12/21/23 2:33,oilquant,Refinery demand expected to rise into summer. #OOTT,256,53,1
8/14/23 13:25,barrelreport,Brent climbing after strong Chinese import numbers. #OOTT,38,27,1
6/20/23 12:48,supplysignals,OPEC+ signaling deeper cuts next quarter. Expect volatility. #OOTT,107,15,0
4/22/23 13:34,opecintel,Backwardation deepening in crude curve. Market tight. #OOTT,0,27,1
9/13/23 7:38,macrocrude,WTI slips on stronger USD and inventory build. #OOTT,25,55,1
8/28/23 10:01,macrocrude,EIA data surprises traders: bullish draw reported. #OOTT,245,8,1
3/4/23 10:29,macrocrude,EIA data surprises traders: bullish draw reported. #OOTT,26,56,0
5/13/23 12:25,crudealert,OPEC+ signaling deeper cuts next quarter. Expect volatility. #OOTT,169,40,0
5/6/23 11:03,macrocrude,OPEC+ signaling deeper cuts next quarter. Expect volatility. #OOTT,279,0,0
3/5/23 14:32,macrocrude,Refinery demand expected to rise into summer. #OOTT,163,63,0
12/10/23 3:44,energyalpha,SPR releases seem to be slowing. Price floor forming? #OOTT,288,65,0
12/14/23 20:27,oilquant,Russian exports reportedly down 300kbpd. Watch this space. #OOTT,116,92,0
6/6/23 12:03,traderecon,Geopolitical tensions in the Gulf fueling crude rally. #OOTT,48,37,0
10/19/23 0:52,oilquant,WTI slips on stronger USD and inventory build. #OOTT,263,76,0
7/14/23 22:58,macrocrude,Brent climbing after strong Chinese import numbers. #OOTT,13,81,0
11/17/23 17:17,crudealert,EIA data surprises traders: bullish draw reported. #OOTT,286,100,1
2/1/23 2:25,energyalpha,Geopolitical tensions in the Gulf fueling crude rally. #OOTT,114,95,0
7/1/23 21:56,brentbulls,Backwardation deepening in crude curve. Market tight. #OOTT,85,48,1
7/5/23 16:23,crudealert,WTI slips on stronger USD and inventory build. #OOTT,79,75,1
3/28/23 11:10,supplysignals,Crude oil inventories fell again this week. #OOTT,50,53,1
6/19/23 20:26,traderecon,EIA data surprises traders: bullish draw reported. #OOTT,162,82,0
12/13/23 5:16,oilquant,Crude oil inventories fell again this week. #OOTT,239,3,0
3/7/23 12:51,brentbulls,SPR releases seem to be slowing. Price floor forming? #OOTT,101,12,0
12/1/23 17:17,brentbulls,Crude oil inventories fell again this week. #OOTT,52,47,0
4/3/23 14:54,crudealert,OPEC+ signaling deeper cuts next quarter. Expect volatility. #OOTT,201,69,1
4/3/23 2:12,opecintel,Refinery demand expected to rise into summer. #OOTT,71,96,0
2/12/23 23:43,oilquant,Brent climbing after strong Chinese import numbers. #OOTT,168,20,0
6/11/23 22:41,macrocrude,Brent climbing after strong Chinese import numbers. #OOTT,93,64,0
2/18/23 11:29,traderecon,Refinery demand expected to rise into summer. #OOTT,46,68,0
9/6/23 9:51,brentbulls,OPEC+ signaling deeper cuts next quarter. Expect volatility. #OOTT,288,52,0
12/6/23 6:35,opecintel,Brent climbing after strong Chinese import numbers. #OOTT,40,84,1
2/23/23 6:58,barrelreport,Backwardation deepening in crude curve. Market tight. #OOTT,139,91,0
11/2/23 11:08,oilwatcher,Backwardation deepening in crude curve. Market tight. #OOTT,112,32,1
3/3/23 19:57,macrocrude,Crude oil inventories fell again this week. #OOTT,55,12,0
5/19/23 0:10,oilquant,Refinery demand expected to rise into summer. #OOTT,214,16,1
6/3/23 9:44,opecintel,OPEC+ signaling deeper cuts next quarter. Expect volatility. #OOTT,137,66,0
8/15/23 17:59,barrelreport,Refinery demand expected to rise into summer. #OOTT,268,39,0
3/28/23 18:04,opecintel,Refinery demand expected to rise into summer. #OOTT,172,68,1
7/27/23 19:20,brentbulls,Refinery demand expected to rise into summer. #OOTT,53,79,1
8/31/23 13:10,energyalpha,EIA data surprises traders: bullish draw reported. #OOTT,236,99,1
12/5/23 16:07,macrocrude,Russian exports reportedly down 300kbpd. Watch this space. #OOTT,275,54,0
3/9/23 16:32,oilquant,Backwardation deepening in crude curve. Market tight. #OOTT,175,24,1
7/23/23 0:49,oilwatcher,Russian exports reportedly down 300kbpd. Watch this space. #OOTT,298,2,0
5/7/23 0:53,oilwatcher,EIA data surprises traders: bullish draw reported. #OOTT,109,92,0
10/8/23 16:45,supplysignals,Refinery demand expected to rise into summer. #OOTT,88,17,1
11/18/23 16:45,oilwatcher,Brent climbing after strong Chinese import numbers. #OOTT,64,53,1
12/10/23 2:45,barrelreport,Crude oil inventories fell again this week. #OOTT,145,24,0
7/7/23 11:50,brentbulls,EIA data surprises traders: bullish draw reported. #OOTT,140,27,0
2/11/23 4:21,brentbulls,Geopolitical tensions in the Gulf fueling crude rally. #OOTT,181,6,1
9/11/23 3:52,opecintel,Russian exports reportedly down 300kbpd. Watch this space. #OOTT,169,93,1
12/8/23 14:44,energyalpha,Russian exports reportedly down 300kbpd. Watch this space. #OOTT,96,45,1
5/20/23 8:38,barrelreport,EIA data surprises traders: bullish draw reported. #OOTT,168,34,0
12/16/23 7:45,oilwatcher,SPR releases seem to be slowing. Price floor forming? #OOTT,14,25,0
1/2/23 20:01,oilwatcher,Geopolitical tensions in the Gulf fueling crude rally. #OOTT,188,16,0
5/19/23 13:38,oilquant,Russian exports reportedly down 300kbpd. Watch this space. #OOTT,142,22,0
4/9/23 17:14,opecintel,EIA data surprises traders: bullish draw reported. #OOTT,77,25,0
3/6/23 8:27,brentbulls,Geopolitical tensions in the Gulf fueling crude rally. #OOTT,17,97,0
7/2/23 8:28,opecintel,Brent climbing after strong Chinese import numbers. #OOTT,42,11,1
1/29/23 11:05,crudealert,Brent climbing after strong Chinese import numbers. #OOTT,231,73,0
11/7/23 1:07,traderecon,Geopolitical tensions in the Gulf fueling crude rally. #OOTT,174,10,0
3/25/23 20:44,traderecon,Refinery demand expected to rise into summer. #OOTT,299,41,0
5/18/23 1:14,barrelreport,SPR releases seem to be slowing. Price floor forming? #OOTT,286,95,1
7/5/23 16:01,energyalpha,OPEC+ signaling deeper cuts next quarter. Expect volatility. #OOTT,49,91,0
9/7/23 17:43,opecintel,Brent climbing after strong Chinese import numbers. #OOTT,112,78,0
6/4/23 9:34,crudealert,Geopolitical tensions in the Gulf fueling crude rally. #OOTT,297,36,1
9/23/23 8:17,oilwatcher,Backwardation deepening in crude curve. Market tight. #OOTT,246,50,0
3/6/23 2:19,oilquant,EIA data surprises traders: bullish draw reported. #OOTT,285,59,0
5/10/23 19:41,energyalpha,OPEC+ signaling deeper cuts next quarter. Expect volatility. #OOTT,170,12,0
3/9/23 16:13,brentbulls,Crude oil inventories fell again this week. #OOTT,66,77,0
7/20/23 10:34,macrocrude,WTI slips on stronger USD and inventory build. #OOTT,163,95,0
1/27/23 12:08,brentbulls,OPEC+ signaling deeper cuts next quarter. Expect volatility. #OOTT,17,37,1
12/20/23 4:14,supplysignals,Geopolitical tensions in the Gulf fueling crude rally. #OOTT,181,87,1
8/6/23 7:22,macrocrude,Russian exports reportedly down 300kbpd. Watch this space. #OOTT,265,84,1
10/12/23 5:48,oilquant,Backwardation deepening in crude curve. Market tight. #OOTT,220,37,0
4/28/23 2:51,brentbulls,Geopolitical tensions in the Gulf fueling crude rally. #OOTT,219,69,0
1/21/23 6:54,barrelreport,SPR releases seem to be slowing. Price floor forming? #OOTT,266,39,0
1/24/23 2:01,barrelreport,EIA data surprises traders: bullish draw reported. #OOTT,235,48,1
4/5/23 7:36,oilwatcher,Geopolitical tensions in the Gulf fueling crude rally. #OOTT,270,92,0
7/4/23 14:32,barrelreport,EIA data surprises traders: bullish draw reported. #OOTT,154,65,0
8/15/23 23:12,macrocrude,Brent climbing after strong Chinese import numbers. #OOTT,165,25,1
7/11/23 10:22,opecintel,Russian exports reportedly down 300kbpd. Watch this space. #OOTT,91,26,0
6/17/23 16:23,barrelreport,Refinery demand expected to rise into summer. #OOTT,216,45,1
10/5/23 21:03,macrocrude,WTI slips on stronger USD and inventory build. #OOTT,152,75,1
2/19/23 1:06,opecintel,EIA data surprises traders: bullish draw reported. #OOTT,43,31,1
11/22/23 19:17,crudealert,OPEC+ signaling deeper cuts next quarter. Expect volatility. #OOTT,64,7,0
8/28/23 6:01,supplysignals,EIA data surprises traders: bullish draw reported. #OOTT,263,18,0
5/17/23 4:08,barrelreport,Backwardation deepening in crude curve. Market tight. #OOTT,243,95,0
5/22/23 5:16,barrelreport,Backwardation deepening in crude curve. Market tight. #OOTT,127,90,0
1/17/23 2:22,traderecon,OPEC+ signaling deeper cuts next quarter. Expect volatility. #OOTT,90,28,0
2/13/23 16:26,barrelreport,Russian exports reportedly down 300kbpd. Watch this space. #OOTT,144,93,0
8/30/23 13:49,traderecon,Brent climbing after strong Chinese import numbers. #OOTT,257,30,0
2/27/23 23:16,opecintel,Backwardation deepening in crude curve. Market tight. #OOTT,287,17,1
11/8/23 10:07,macrocrude,WTI slips on stronger USD and inventory build. #OOTT,139,80,0
7/29/23 19:29,opecintel,Crude oil inventories fell again this week. #OOTT,149,31,1
8/25/23 14:22,barrelreport,Crude oil inventories fell again this week. #OOTT,200,97,0
11/8/23 4:48,opecintel,Geopolitical tensions in the Gulf fueling crude rally. #OOTT,180,83,0
12/12/23 15:45,crudealert,Crude oil inventories fell again this week. #OOTT,250,77,0
8/9/23 3:56,supplysignals,Brent climbing after strong Chinese import numbers. #OOTT,211,82,1
4/29/23 5:45,brentbulls,Refinery demand expected to rise into summer. #OOTT,291,12,1
4/19/23 0:11,traderecon,Russian exports reportedly down 300kbpd. Watch this space. #OOTT,173,2,1
2/15/23 3:35,traderecon,Brent climbing after strong Chinese import numbers. #OOTT,40,29,1
1/26/23 19:35,energyalpha,SPR releases seem to be slowing. Price floor forming? #OOTT,18,22,0
4/3/23 12:08,supplysignals,SPR releases seem to be slowing. Price floor forming? #OOTT,251,84,1
11/15/23 14:11,macrocrude,EIA data surprises traders: bullish draw reported. #OOTT,99,68,0
8/13/23 0:24,oilwatcher,EIA data surprises traders: bullish draw reported. #OOTT,280,17,0
7/7/23 3:52,traderecon,Refinery demand expected to rise into summer. #OOTT,219,69,1
1/18/23 11:15,supplysignals,WTI slips on stronger USD and inventory build. #OOTT,26,12,1
3/8/23 9:54,oilwatcher,Brent climbing after strong Chinese import numbers. #OOTT,235,25,1
11/20/23 16:07,oilwatcher,EIA data surprises traders: bullish draw reported. #OOTT,105,71,1
1/3/23 7:43,crudealert,OPEC+ signaling deeper cuts next quarter. Expect volatility. #OOTT,128,72,1
7/7/23 5:41,crudealert,Crude oil inventories fell again this week. #OOTT,212,55,1
1/23/23 9:42,traderecon,Brent climbing after strong Chinese import numbers. #OOTT,237,98,1
8/13/23 23:26,brentbulls,Refinery demand expected to rise into summer. #OOTT,197,49,1
9/8/23 7:31,energyalpha,Russian exports reportedly down 300kbpd. Watch this space. #OOTT,93,24,0
1/17/23 22:33,supplysignals,Brent climbing after strong Chinese import numbers. #OOTT,125,55,1
11/2/23 18:53,barrelreport,Refinery demand expected to rise into summer. #OOTT,16,62,1
2/13/23 5:58,opecintel,EIA data surprises traders: bullish draw reported. #OOTT,69,18,0
1/15/23 3:59,opecintel,Refinery demand expected to rise into summer. #OOTT,11,41,1
11/1/23 19:14,traderecon,EIA data surprises traders: bullish draw reported. #OOTT,259,40,0
1/5/23 13:35,oilwatcher,Brent climbing after strong Chinese import numbers. #OOTT,166,28,0
7/20/23 12:30,barrelreport,Crude oil inventories fell again this week. #OOTT,151,80,1
10/15/23 2:16,oilwatcher,Crude oil inventories fell again this week. #OOTT,152,62,0
11/27/23 0:44,barrelreport,OPEC+ signaling deeper cuts next quarter. Expect volatility. #OOTT,61,63,0
12/8/23 5:48,oilquant,EIA data surprises traders: bullish draw reported. #OOTT,21,1,0
2/24/23 5:39,barrelreport,OPEC+ signaling deeper cuts next quarter. Expect volatility. #OOTT,74,69,0
5/18/23 22:51,oilquant,Brent climbing after strong Chinese import numbers. #OOTT,118,0,1
5/11/23 17:19,brentbulls,Refinery demand expected to rise into summer. #OOTT,192,57,0
5/10/23 19:25,crudealert,Geopolitical tensions in the Gulf fueling crude rally. #OOTT,25,19,1
10/16/23 19:38,brentbulls,SPR releases seem to be slowing. Price floor forming? #OOTT,125,0,0
11/4/23 11:47,brentbulls,OPEC+ signaling deeper cuts next quarter. Expect volatility. #OOTT,189,59,0
7/9/23 1:03,oilquant,Backwardation deepening in crude curve. Market tight. #OOTT,60,80,0
1/1/23 2:10,brentbulls,SPR releases seem to be slowing. Price floor forming? #OOTT,14,98,0
1/16/23 8:03,oilquant,Refinery demand expected to rise into summer. #OOTT,143,45,1
7/10/23 16:34,supplysignals,Geopolitical tensions in the Gulf fueling crude rally. #OOTT,198,64,1
4/2/23 23:40,oilwatcher,OPEC+ signaling deeper cuts next quarter. Expect volatility. #OOTT,124,64,0
11/29/23 21:24,opecintel,EIA data surprises traders: bullish draw reported. #OOTT,257,17,0
3/3/23 22:34,supplysignals,OPEC+ signaling deeper cuts next quarter. Expect volatility. #OOTT,121,28,1
1/19/23 14:40,supplysignals,SPR releases seem to be slowing. Price floor forming? #OOTT,143,70,0
1/14/23 11:40,opecintel,Refinery demand expected to rise into summer. #OOTT,233,1,0
8/29/23 10:12,opecintel,SPR releases seem to be slowing. Price floor forming? #OOTT,293,16,0
4/28/23 0:38,crudealert,Backwardation deepening in crude curve. Market tight. #OOTT,170,22,1
6/15/23 7:58,energyalpha,SPR releases seem to be slowing. Price floor forming? #OOTT,19,16,1
9/2/23 6:04,crudealert,Crude oil inventories fell again this week. #OOTT,113,39,1
8/20/23 4:30,barrelreport,WTI slips on stronger USD and inventory build. #OOTT,103,82,0
7/27/23 16:37,barrelreport,Backwardation deepening in crude curve. Market tight. #OOTT,79,56,0
2/21/23 17:29,oilwatcher,Refinery demand expected to rise into summer. #OOTT,260,4,1
10/28/23 0:05,oilwatcher,Refinery demand expected to rise into summer. #OOTT,218,81,1
3/19/23 10:35,opecintel,Backwardation deepening in crude curve. Market tight. #OOTT,58,68,1
3/23/23 5:24,oilwatcher,Geopolitical tensions in the Gulf fueling crude rally. #OOTT,11,42,1
9/27/23 21:58,crudealert,EIA data surprises traders: bullish draw reported. #OOTT,176,96,0
10/13/23 1:50,oilwatcher,Backwardation deepening in crude curve. Market tight. #OOTT,32,16,1
12/11/23 3:07,opecintel,EIA data surprises traders: bullish draw reported. #OOTT,246,44,0
4/17/23 0:47,supplysignals,Crude oil inventories fell again this week. #OOTT,195,37,1
11/11/23 14:10,oilquant,Geopolitical tensions in the Gulf fueling crude rally. #OOTT,284,59,0
10/13/23 1:23,traderecon,Geopolitical tensions in the Gulf fueling crude rally. #OOTT,234,29,1
2/23/23 19:45,supplysignals,Russian exports reportedly down 300kbpd. Watch this space. #OOTT,70,41,1
1/29/23 22:59,barrelreport,Russian exports reportedly down 300kbpd. Watch this space. #OOTT,195,74,1
12/30/23 1:31,energyalpha,Crude oil inventories fell again this week. #OOTT,121,68,1
11/15/23 9:59,brentbulls,Crude oil inventories fell again this week. #OOTT,200,48,0
12/4/23 8:45,oilquant,Refinery demand expected to rise into summer. #OOTT,95,13,1
12/9/23 9:51,oilwatcher,Russian exports reportedly down 300kbpd. Watch this space. #OOTT,208,57,0
9/6/23 10:38,oilwatcher,SPR releases seem to be slowing. Price floor forming? #OOTT,253,30,0
10/22/23 14:29,macrocrude,SPR releases seem to be slowing. Price floor forming? #OOTT,274,48,0
7/30/23 23:44,energyalpha,Geopolitical tensions in the Gulf fueling crude rally. #OOTT,237,56,0
1/6/23 0:15,oilquant,WTI slips on stronger USD and inventory build. #OOTT,191,67,1
3/15/23 21:32,barrelreport,Refinery demand expected to rise into summer. #OOTT,144,15,0
1/1/23 7:13,oilquant,EIA data surprises traders: bullish draw reported. #OOTT,169,21,0
3/19/23 13:56,opecintel,SPR releases seem to be slowing. Price floor forming? #OOTT,280,66,0
8/25/23 11:56,oilquant,WTI slips on stronger USD and inventory build. #OOTT,23,19,1
4/10/23 13:53,macrocrude,WTI slips on stronger USD and inventory build. #OOTT,6,11,1
10/7/23 19:07,crudealert,Refinery demand expected to rise into summer. #OOTT,277,51,1
